"Source:","C:\Users\Florian\Documents\KiCad\EurorackMicrocontrollerModule\EurorackMicrocontrollerModule.kicad_sch"
"Date:","04.08.2022 11:55:44"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","47"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"","","C2","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Elektrolytisch"
"","","C3","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C4","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Elektrolytisch"
"","","C5","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"","","C6","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C7","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"","","C8","1uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Elektrolytisch"
"","","C9","1uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Elektrolytisch"
"","","C10","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C11","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"","","C12","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C13","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C14","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C15","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"","","C16","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","D1","4.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","~"
"","","D2","4.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","~"
"","","D3","4.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","~"
"","","D4","4.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","~"
"","","D5","8.3V","Device:D_Zener","","~"
"","","D6","8.3V","Device:D_Zener","","~"
"","","J1","Teensy4.0_Pins_Right",":Conn_01x13_Female_1","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","~"
"","","J2","Teensy4.0_Pins_Left","Connector:Conn_01x13_Female","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","~"
"","","J3","Conn_01x24_Male","Connector:Conn_01x24_Male","Connector_PinHeader_2.54mm:PinHeader_1x24_P2.54mm_Vertical","~"
"","","J4","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"","","J5","AudioJack","Connector:AudioJack2","","~"
"","","OpAmp1","NE5532A","NE5534A:NE5532AD","NE5534A:NE5532AD",""
"","","R1","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R2","15k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R3","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R4","15k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R5","5k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R6","5k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R7","3k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R8","6k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R9","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R10","3k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R11","6k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R12","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R13","1k","Device:R_Small","","~"
"","","R14","5k","Device:R_Small","","~"
"","","R15","2k","Device:R_Small","","~"
"","","R16","3k","Device:R_Small","","~"
"","","U1","PCM1754DBQ","PCM1754DBQR:PCM1754DBQ","PCM1754DBQR:PCM1754DBQ",""
"","","U2","PCM1808PW","PCM1808:PCM1808PW","PCM1808:PCM1808PW",""
"","","U3","AZ1117H2-ADJ","Regulator_Linear:AZ1117H-ADJ","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/products_inactive_data/AZ1117.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","7","C1, C2, C4, C5, C7, C11, C15","10uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Electrolytisch"
"2","5","C3, C6, C10, C12, C16","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"3","2","C8, C9","1uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_4x4.5","Elektrolytisch"
"4","1","C13","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"5","1","C14","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"6","4","D1, D2, D3, D4","4.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","~"
"7","2","D5, D6","8.3V","Device:D_Zener","","~"
"8","1","J1","Teensy4.0_Pins_Right",":Conn_01x13_Female_1","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","~"
"9","1","J2","Teensy4.0_Pins_Left","Connector:Conn_01x13_Female","Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical","~"
"10","1","J3","Conn_01x24_Male","Connector:Conn_01x24_Male","Connector_PinHeader_2.54mm:PinHeader_1x24_P2.54mm_Vertical","~"
"11","1","J4","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"12","1","J5","AudioJack","Connector:AudioJack2","","~"
"13","1","OpAmp1","NE5532A","NE5534A:NE5532AD","NE5534A:NE5532AD",""
"14","2","R1, R3","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"15","2","R2, R4","15k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"16","2","R5, R6","5k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"17","2","R7, R10","3k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"18","2","R8, R11","6k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"19","2","R9, R12","1k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"20","1","R13","1k","Device:R_Small","","~"
"21","1","R14","5k","Device:R_Small","","~"
"22","1","R15","2k","Device:R_Small","","~"
"23","1","R16","3k","Device:R_Small","","~"
"24","1","U1","PCM1754DBQ","PCM1754DBQR:PCM1754DBQ","PCM1754DBQR:PCM1754DBQ",""
